M,R,Teff,L,Meta,logg,Prot,Age
1.25,1.22,6608,2.146,-0.12,4.359,24.255,0.4
1.441,1.425,6711,3.631,-0.077,4.287,2.56,0.484
1.222132865,1.413283693,6152,2.544,-0.002,4.177,3.6478,0.79
1.345465477,1.924665457,5960,4.52,0.1,4.034,5.5063,0.79
1.280428921,1.263343077,6787,2.762,-0.004,4.104,1.1329,0.79
0.835218162,0.799616397,5087,0.4258,-0.049,4.54,23.6009,0.79
1.151744659,1.102548778,6429,1.709,0.07,4.285,11.2833,0.79
1.150302265,1.219265576,6142,1.833,-0.092,4.336,4.9122,0.79
1.596992532,1.557678643,7744,7.122,0.029,4.081,0.0644,0.79
0.926518654,0.89705864,5490,0.6731,0.02,4.504,9.0139,0.79
0.784274285,0.642960629,5257,0.289,0.057,4.537,9.1156,0.79
1.042402416,1.031362633,5921,1.138,0.016,4.238,7.9323,0.79
0.884664462,0.776172581,5572,0.5122,-0.098,4.484,17.0159,0.79
1.504156245,2.136917858,6445,7.279,0.025,4.12,0.4758,0.79
0.792987618,0.675743484,5195,0.3117,-0.18,4.555,22.6623,0.79
0.892797857,0.846195625,5394,0.5635,-0.126,4.531,9.2312,0.79
0.789122231,0.694474993,5085,0.3126,-0.175,4.555,9.7813,0.79
1.004837373,0.896993386,6055,0.8985,0.07,4.318,6.7847,0.79
1.04370743,1.066586303,5836,1.172,-0.074,4.262,7.1176,0.79
0.778781478,0.721041446,4889,0.3068,0.065,4.587,10.6707,0.79
0.802612738,0.732428868,5055,0.3458,0.157,4.548,12.5389,0.79
0.849456133,0.693812583,5601,0.4066,0.029,4.47,8.4511,0.79
0.920716832,0.890498422,5466,0.654,-0.036,4.506,8.8734,0.79
0.895626653,0.838882295,5441,0.5674,0.004,4.525,7.9621,0.79
0.820773963,0.785889859,5014,0.3954,-0.04,4.55,10.8197,0.79
0.875935148,0.957994546,4916,0.5779,0.084,4.589,10.6285,0.79
0.863394428,0.865457275,5098,0.5093,-0.07,4.562,9.7007,0.79
0.776311663,0.643941801,5182,0.2787,-0.124,4.555,9.1577,0.79
0.835078654,0.800028967,5086,0.4259,-0.069,4.586,10.0064,0.79
0.827375014,0.761333345,5158,0.397,-0.003,4.546,9.4566,0.79
0.986671092,0.883772526,5969,0.8329,-0.012,4.259,7.5631,0.79
0.922152171,0.943306569,5317,0.6867,-0.038,4.534,10.4418,0.79
0.771271519,0.722226631,4817,0.2973,-0.04,4.622,13.7124,0.79
0.993947691,1.046122178,5550,0.9703,-0.02,4.5,8.2423,0.79
1.204356425,1.252157178,6386,2.205,0.023,4.193,2.9618,0.79
0.852312638,0.785734081,5278,0.452,-0.039,4.557,9.0541,0.79
0.728993724,0.602454968,4929,0.2116,0.125,4.579,10.5084,0.79
1.407097383,1.450832551,7060,4.296,-0.009,4.149,0.7522,0.79
1.027902156,0.96635841,6005,1.031,0.012,4.255,6.3818,0.79
1.458912613,2.17660251,6181,6.618,0.021,3.787,4.4134,0.79
1.332543753,1.651944101,6319,3.894,0.068,4.191,1.0631,0.79
0.925649831,0.860519128,5599,0.6497,-0.068,4.473,9.0406,0.79
0.806290644,0.747422115,5030,0.3568,-0.025,4.566,10.3341,0.79
1.41171424,1.794072157,6490,5.09,0.022,4.108,3.6816,0.79
1.134685884,1.248164158,5981,1.778,0.006,4.358,5.5208,0.79
1.015000422,0.966839789,5917,0.9858,-0.012,4.243,8.1225,0.79
0.965953051,0.941883934,5644,0.8095,-0.091,4.462,8.7366,0.79
0.811390279,0.738798502,5107,0.3623,0.061,4.564,13.3008,0.79
0.723752908,0.619933714,4800,0.211,-0.185,4.627,11.7041,0.79
0.960002543,0.908821783,5700,0.7713,-0.056,4.451,8.9347,0.79
0.977952891,0.904714814,5842,0.8212,-0.037,4.312,7.8258,0.79
1.536134491,2.356901986,6319,8.443,0.119,4.062,0.4699,0.79
1.498265614,1.78947318,6913,6.285,0.071,4.072,0.8876,0.79
0.769,0.722,4765,0.3834,-0.1,4.635,22.2923,0.79
1.189839256,1.461056839,5872,2.37,0.083,4.226,1.1779,0.79
0.904210571,0.863498274,5426,0.5989,0.01,4.529,9.0478,0.79
0.853156533,0.821340996,5161,0.4694,-0.031,4.523,12.5998,0.79
1.149263952,1.281513987,5996,1.897,0.06,4.089,4.2552,0.79
0.828569956,0.690499706,5441,0.3709,0.001,4.523,9.5487,0.79
1.18492785,1.5952379,5601,2.492,-0.026,4.214,7.2198,0.79
1.099858699,1.132855873,6032,1.479,-0.049,4.233,5.9093,0.79
1.149550628,1.27946642,6003,1.897,0.03,4.043,3.6691,0.79
1.282806971,1.503223837,6318,3.167,-0.019,4.25,0.9516,0.79
0.829556841,0.810506723,5003,0.4197,-0.008,4.593,9.3682,0.79
0.866007013,0.9213472,4945,0.5392,-0.02,4.601,11.1621,0.79
0.983742205,0.990736055,5630,0.8978,0.0,4.474,9.3952,0.79
1.358796829,1.727124776,6331,4.319,0.021,3.757,1.5882,0.79
1.01363338,1.012979198,5776,1.016,-0.007,4.399,7.9332,0.79
0.900294623,0.907193671,5258,0.6115,-0.256,4.511,9.0884,0.79
1.406625637,1.658449102,6685,4.739,0.042,4.259,0.3535,0.79
0.843110522,0.764118375,5280,0.4262,0.016,4.546,9.6222,0.79
0.922205392,0.914431797,5403,0.6714,0.01,4.529,9.1716,0.79
0.75830963,0.699957755,4786,0.2726,-0.115,4.623,10.8936,0.79
1.688225756,2.69222407,6605,13.07,0.131,4.018,0.0514,0.79
0.764158383,0.648220999,5053,0.2648,-0.278,4.571,9.8695,0.79
1.579355314,2.110986712,6820,8.587,0.046,4.158,0.0587,0.79
1.367480329,1.962616705,6019,4.86,0.048,4.106,0.6848,0.79
0.88845037,0.818912757,5452,0.5414,-0.013,4.517,11.093,0.79
1.246146517,1.482988504,6153,2.827,-0.019,4.161,3.2908,0.79
0.912780029,0.858291542,5508,0.6167,0.029,4.494,8.9246,0.79
1.24838593,1.50055929,6132,2.87,0.081,4.067,0.7856,0.79
0.81012876,0.749730757,5055,0.3639,-0.129,4.572,9.42,0.79
1.331273421,1.515937727,6551,3.638,-0.033,4.163,0.4794,0.79
0.81724396,0.769725369,5043,0.383,-0.068,4.572,10.2967,0.79
0.965376289,0.942570422,5639,0.8087,-0.069,4.465,8.6051,0.79
1.344674767,1.442607408,6759,3.634,-0.028,4.143,2.0297,0.79
0.762326025,0.699171389,4825,0.2778,-0.01,4.607,10.6618,0.79
1.910227196,2.32114799,7879,18.19,-0.006,4.147,0.0545,0.79
1.488005164,2.025980916,6517,6.732,0.026,4.128,9.1745,0.79
0.804674503,0.785505613,4878,0.3675,-0.105,4.603,4.6753,0.79
1.241662333,1.27839858,6541,2.498,-0.012,4.166,2.2942,0.79
1.778128639,2.149174009,7594,13.3,0.029,3.976,1.815,0.79
0.912902982,0.807908022,5679,0.5897,-0.031,4.452,8.4887,0.79
0.777507805,0.661068625,5119,0.2859,-0.076,4.568,9.3611,0.79
1.152512754,1.197439085,6205,1.822,-0.094,4.163,5.8684,0.79
0.873833148,0.810930726,5363,0.5058,-0.07,4.537,9.3863,0.79
1.252591583,1.580848641,6011,3.019,-0.067,4.16,3.0773,0.79
1.422575683,1.806147491,6526,5.259,0.014,3.99,1.12,0.79
1.244243449,1.425979866,6252,2.729,-0.028,4.052,0.8405,0.79
1.353062241,1.648917049,6430,4.107,-0.004,4.137,4.9297,0.79
0.859903917,0.795869486,5304,0.4706,0.024,4.544,9.8752,0.79
1.757670807,2.417025108,7186,13.93,0.046,3.959,13.0114,0.79
1.663143104,1.865657906,7524,9.418,0.026,4.091,0.0435,0.79
0.783123197,0.692601595,5040,0.3041,0.065,4.577,12.1032,0.79
1.302209065,1.464502068,6494,3.277,-0.003,4.188,0.6141,0.79
0.737967767,0.645101017,4824,0.2333,-0.129,4.63,11.6641,0.79
1.013046086,0.967850446,5899,0.9802,-0.139,4.313,10.9104,0.79
0.871666174,0.747474198,5573,0.472,-0.066,4.484,8.9809,0.79
1.263465834,1.52215303,6176,3.026,-0.003,4.186,1.8829,0.79
1.332125985,1.42915368,6720,3.489,0.056,4.141,2.3904,0.79
1.093341307,1.191418784,5852,1.503,0.02,4.402,6.6839,0.79
1.107758977,1.002946481,6423,1.385,0.07,4.275,7.662,0.79
1.10114357,1.152507111,5993,1.504,-0.07,4.246,7.3144,0.79
0.947725521,0.891590487,5664,0.7261,0.014,4.445,9.6739,0.79
0.757980177,0.68414569,4845,0.268,-0.065,4.616,12.3875,0.79
0.855144372,0.795914561,5265,0.4619,-0.126,4.539,11.0069,0.79
0.77504644,0.677262595,5030,0.2882,-0.01,4.568,9.3682,0.79
1.102122637,1.240075248,5795,1.593,-0.044,4.227,10.334,0.79
0.792088191,0.714602611,5032,0.3237,-0.113,4.573,2.4224,0.79
0.793782411,0.718787857,5031,0.3277,-0.203,4.555,9.6362,0.79
1.684476035,2.200646471,7152,11.15,0.049,4.044,0.0587,0.79
0.819542215,0.764638092,5080,0.3846,-0.015,4.562,9.7992,0.79
1.386253632,1.705999944,6504,4.595,0.03,4.222,10.2845,0.79
1.15433714,1.25842644,6077,1.902,-0.137,4.112,3.9402,0.79
1.121454932,1.167380223,6086,1.622,-0.018,4.224,6.8695,0.79
0.923144026,1.014258483,5123,0.7277,0.018,4.55,10.1754,0.79
1.280418663,1.572639259,6178,3.254,-0.003,4.183,0.8984,0.79
1.039424512,1.045340194,5863,1.138,-0.023,4.313,7.9873,0.79
1.215605843,1.294980919,6357,2.338,-0.012,4.19,3.8218,0.79
1.392473768,1.552464497,6797,4.35,-0.019,4.065,0.5125,0.79
1.341513456,1.735419568,6229,4.141,-0.08,4.194,5.9003,0.79
1.240180762,1.376942054,6326,2.629,-0.098,4.185,3.0579,0.79
0.916341819,0.877166961,5475,0.6364,-0.066,4.516,9.1078,0.79
1.282720245,1.50924856,6305,3.176,-0.007,4.028,3.5848,0.79
1.229149717,1.307688463,6407,2.45,-0.033,4.194,0.4142,0.79
1.078695576,1.096019761,5990,1.346,-0.044,4.203,6.8203,0.79
1.379316911,1.700115529,6480,4.5,0.025,4.076,3.6189,0.79
0.991436664,1.009323172,5632,0.9362,-0.01,4.48,8.2856,0.79
0.769622325,0.690365858,4928,0.2845,-0.01,4.582,10.7508,0.79
1.6438518,2.594109242,6524,11.56,0.026,3.856,0.0872,0.79
1.532884461,2.087648806,6641,7.653,0.024,4.084,0.0608,0.79
0.79787892,0.727129791,5034,0.3365,-0.091,4.566,9.7514,0.79
1.31183864,1.728005648,6084,3.808,-0.037,4.195,4.7357,0.79
0.765836688,0.716951029,4788,0.2879,-0.07,4.622,10.6856,0.79
1.28883861,1.730733011,5957,3.579,-0.096,4.264,6.1123,0.79
0.839092451,0.69747193,5501,0.3909,-0.091,4.503,9.0816,0.79
1.028899311,1.179270592,5457,1.201,-0.04,4.521,7.4753,0.79
0.97687589,0.934071398,5746,0.8378,0.023,4.4,4.1844,0.79
1.79384702,2.277213499,7493,14.33,-0.001,4.031,0.0701,0.79
